Navn,Årsmodell,Kilometer,Pris
Volkswagen Amarok 2.0TDi 4-Motion 180 hk Ultimate H.feste/Varmer/Garanti,2016,150 000,289 000
Volkswagen Amarok AMAROK 3.0-224 D 4MOTION,2017,153 500,329 476
"Volkswagen Amarok 3.0 204HK, HIGELINE, XENON, DELSKINN, R.KAM, EU 8/25+++",2018,143 000,349 999
"Volkswagen Amarok 2,0TDI-180HK-4X4-AUTO-WEBASTO-KROK3,2T-NAVI-ULTIMATE ++",2016,179 100,274 900
Volkswagen Amarok 2.0 180 TDI Canyon DC 4M-perm. aut,2016,193 709,251 476
Volkswagen Amarok 3.0TDI/224HK/4-MOTION/AVENTURA/NAVI/DAB/BT/TLF/A/T,2018,107 000,379 999
Volkswagen Amarok 3.0TDI 258hk 5-Seter Planlokk Webasto Krok Ryggekam,2019,79 700,Solgt
"Volkswagen Amarok 180 hk, aut.4motion, 5 SETER, LAV KM.",2013,150 000,279 000
Volkswagen Amarok 2.0 TDI 4Motion DSG 5 Seter / Webasto / Cruise / Krok++,2013,193 000,299 000
"Volkswagen Amarok 3,0TDI V6 240HK 4MOTION AVENTURA / EL LOKK / FJ WEB",2024,125,879 700
Volkswagen Amarok 3.0 204 TDI Highline DC 4M-perm aut,2019,154 600,370 476
Volkswagen Amarok AMAROK 2.0-140 D 4MOTION,2014,183 000,160 000
"Volkswagen Amarok 2,0TDI/4MOTION/180HK/DSG/HIGHLINE/WEB/NAVI/BØYLER/+++",2016,178 000,297 476
Volkswagen Amarok 4 Motion/Hengerfeste/NY EU/ NY SERVICE/ PÅKOSTET+,2011,216 000,189 900
Volkswagen Amarok,2017,280 000kr,439 000
"Volkswagen Amarok 2.0 TDI 180HK DELTA 35""/5-SETER/AUT/WEBASTO/PÅKOSTET!!",,180 940,255 000
Volkswagen Amarok 2.0-180hk DoubleCab 4Motion H.Feste R.Kam Navi Skinn++,2015,156 650,214 476
Volkswagen Amarok AMAROK 2.0-140 D 4MOTION,2014,139 764,201 231
Volkswagen Amarok AMAROK 2.0-163 D 4MOTION,2013,200 000,389 900
Volkswagen Amarok 3.0 TDI V6 4MOTIOM AUT | Topp utstyrt,2011,262 000,333 900
"Volkswagen Amarok 3,0 TDI V6 258HK 4MOTION AUT | Topp utstyrt",2018,235 000,399 900
"Volkswagen Amarok 3.0 224 TDI Aventura DC 4M-perm aut Pen bil, varmer",2019,112 000,689 000
Volkswagen Amarok aventura 240 tdi vare *ACC*Diffsperre*Krok*Kamera*,2018,15 000,289 000
"Volkswagen Amarok 3.0TDI V6 4-Motion Webasto,Planlokk,Ryggekam,H.Feste++",2023,146 600,399 900
Volkswagen Amarok avent.258 tdi aut vare *Krok*Webasto*Durabed*Ryggekamer,2017,116 178,379 900
Volkswagen Amarok high. 258 tdi aut vare *Krok*Webasto*R.Kamera*Lysbjelke,2019,129 341,186 476
Volkswagen Amarok AMAROK 2.0-179 D 4MOTION,2019,181 000,349 900
"Volkswagen Amarok avent.224 tdi aut vare Avantura,Parkvarmer,lys&sikt",2014,135 000,379 000
Volkswagen Amarok 224hk V6 Highline. 24 MÅNEDERS GARANTI / TOPPUTSTYRT!,2017,99 000,199 000
Volkswagen Amarok 2.0-140 D 4MOTION 5 - SETER CRUISE NAVI BT,2018,189 780,269 000
"Volkswagen Amarok 2,0TDi 180hk Ultimate Aut LED/H.F/Varmer/Bøyle/R.Kam++",2013,136 000,319 000
Volkswagen Amarok 3.0 V6 224hk TDI 4Motion Automat Webasto Navi,2016,179 700,469 476
"Volkswagen Amarok 3,0 TDI 258hk 4Motion aut",2017,69 500,279 476
Volkswagen Amarok 2.0TDI 180hk Highline Aut 4WD Webast Navi Kamer FIN BIL,2020,110 523,799 900
"Volkswagen Amarok 240hk V6 TDI Pan Americana Harman/Kardon,360kam,Matrix",2016,14 900,Solgt
Volkswagen Amarok 2.0 179HK / 4x4 / Krok / R.Kamera / Automat / Cruise ++,2023,154 700,198 074
Volkswagen Amarok,2015,213 426,335 000
Volkswagen Amarok 3.0TDI / 4-Motion / Aut / Webasto / R.Kamera / Hardtop,2016,151 000,389 000
"Volkswagen Amarok 3,0TDI 204HK HIGHLINE 4MOT /Dab/Kamera/Delskinn/Webasto",2017,100 211,699 000
Volkswagen Amarok aventura 240 tdi vare WEBASTO/HENGERFESTE/IG LIGHT/,2019,8 000,379 000
Volkswagen Amarok high. 258 tdi aut vare,2023,106 551,299 990
"Volkswagen Amarok 2.0 180 TDI BMT Highline DC 4M-perm aut Artic,Webasto++",2018,183 500,479 000
Volkswagen Amarok 3.0 204 TDI Highline DC 4M-perm aut Websto/H feste,2014,54 200,449 900
Volkswagen Amarok 3.0-TDI-258HK-V6-DSG-4X4-DC-HIGHLINE*KAM*PDC*VELTEBØYLE,2020,60 985,439 000
Volkswagen Amarok Aventura/HUD/H.feste/Skinn/Panorama/LED/DAB/Cruise,2019,82 000,789 990
"Volkswagen Amarok 240hk V6 TDI Style Aeroklas hardtop,Ledbar,20""felger+++",2018,2 980,169 000
"Volkswagen Amarok 2,0 TDI 4 Motion Navi Hengerfeste",2023,250 776,399 900
"Volkswagen Amarok 3,0 TDI 258 HKHighline Strigtrinn/Kufanger/ Ekstra lys",2016,91 000,250 000
Volkswagen Amarok Ultimate 2.0TDI 4M Krok Webasto Kamera Garanti Norsk,2020,150 000,189 900
Volkswagen Amarok 4 Motion/Hengerfeste/NY EU/ NY SERVICE/ PÅKOSTET+,2015,216 000,519 900
Volkswagen Amarok 3.0TDI 258HK DOBBEL CAB ACC WEBASTO KAMERA NAVI GARANTI,2011,61 109,349 900
Volkswagen Amarok 3.0TDI AUT. HIGHLINE 1 EIER HARDTOP DAB WEBASTO GARANTI,2020,174 153,199 950
Volkswagen Amarok 5-SETER/H.FESTE/ISOFIX/CRUISE,2019,207 000,239 000
"Volkswagen Amarok 4Motion 180hk Ultimate - Tilhengerfeste, Ryggekamera ,",2013,207 574,289 900
Volkswagen Amarok HIGHLINE / 180HK / 4WD / KROK-3200KG / BED-SLIDE / NAF+,2016,140 812,269 900
Volkswagen Amarok HIGHLINE/FACELIFT/XENON/WEBASTO/DAB+/RYGGEKAMERA+++,2015,119 000,269 900
Volkswagen Amarok KINGTOP/RYGGE-KAMERA/PARKERINGS-SENSOR/DAB+/XENON+++,2016,131 000,349 000
Volkswagen Amarok 3.0 V6 204HK | 4MOTION | Webasto | Alcantara | Carplay,2016,132 000,149 000
Volkswagen Amarok 2.0Tdi 4Motion Double Cab Off Road Cruise Navi Krok,2016,289 000,249 000
Volkswagen Amarok 2.0 TDI 180HK Automat/Kamera/Navi/DAB+/Webasto++,2013,173 891,679 000
Volkswagen Amarok aventura 240 tdi vare Webasto/Ekstra lys/H.Feste/Skinn,2014,16 000,169 900
"Volkswagen Amarok 2,0TDI-163HK-5 SETER-MANUELL-4X4-KROK-NAVI-HØY/LAV-DIFF",2023,267 000,219 900
Volkswagen Amarok 180HK/DSG/FJ.WEB/EUOK26/NYSERV/,2012,213 500,299 000
"Volkswagen Amarok 2.0TDI 4-Motion 5-Seter Webasto,Stigtrinn,P.Sensor,DAB+",2015,209 500,699 000
"Volkswagen Amarok aventura 240 tdi vare ACC, Krok, Webasto, Navi, Matrix",2013,12 000,289 476
Volkswagen Amarok 3.0 224 TDI Highline DC 4M-perm aut,2023,172 300,709 000
Volkswagen Amarok aventura 240 tdi vare NAVI-WEBASTO-360-MARTIX-KROK-++++,2018,3 367,679 000
"Volkswagen Amarok 3,0 TDI V6 240hk Aventura aut / H&K / Matrix+++",2023,15 000,319 000
Volkswagen Amarok Amarok,2023,203 465,779 800
Volkswagen Amarok V6TDI/245 HK/TOPPUTGAVE/SP.SKINN/WEB-P.VARM/ACC/H&K++,2019,5 969,389 900
"Volkswagen Amarok Aventura 3,0 TDI V6 224 HK  Skinn Webasto Krok",2023,86 021,88 231
Volkswagen Amarok AMAROK 2.0-163 D 4MOTION,2018,251 900,369 900
Volkswagen Amarok 3.0 TDI 224HK HIGHLINE*LED*PDC*AUT*WEBASTO*KROK,2011,109 500,489 000
Volkswagen Amarok 3.0 TDI 204HK 4WD Highline/ DC 4M-perm aut/Webasto/Krok,2018,18 343,429 000
"Volkswagen Amarok 3,0 TDI V6 204hk DSG 4Motion Dobbel Cab",2020,11 200,299 000
Volkswagen Amarok 3.0TDI 258HK AVENTURA-SKINN-CAR NET-ALARM-MFJ RATT-KROK,2018,286 034,359 900
Volkswagen Amarok 3.0TDI 224HK HIGHLINE/WEBASTO/NYSERV/LAZER/KAMERA/HFEST,2019,137 600,799 000
Volkswagen Amarok aventura 240 tdi vare PLANTREKK/LAZER LIGHT/MATRIX/360,2017,14 900,399 000
"Volkswagen Amarok 3.0TDI V6 Webasto,Ryggekam,Xenon,Stigtrinn,H.Feste+",2023,139 500,779 000
"Volkswagen Amarok 240hk V6 TDI Aventura Plantrekk,Ekstralys,Matrix,360Cam",2020,10 500,339 000
"Volkswagen Amarok 3.0TDI V6 Webasto,Ryggekam,Xenon,Delskinn,H.Feste++",2023,142 800,469 900
"Volkswagen Amarok high. 258 tdi aut vare navi, bi-xenon, ryggekamera,krok",2017,73 892,669 000
Volkswagen Amarok 240hk V6 TDI Aventura DEMOBIL MED ALT UTSTYR! LEVERING?,2020,16 900,469 476
"Volkswagen Amarok 3,0 TDI 258hk 4Motion aut",2023,69 500,679 000
